period_cost,holding,stockout,order,demand,inventory,cumulative_cost
35.5,0.0,17.0,37,54,0,10741.4
32.0,0.0,20.0,24,44,0,10773.4
36.0,0.0,24.0,24,48,0,10809.4
42.0,0.0,30.0,24,54,0,10851.4
24.5,0.0,6.0,37,43,0,10875.9
36.5,0.0,17.0,39,56,0,10912.4
35.5,0.0,17.0,37,54,0,10947.9
40.5,0.0,22.0,37,59,0,10988.4
40.5,0.0,22.0,37,59,0,11028.9
56.0,0.0,44.0,24,68,0,11084.9
